Time,Temperature(C),Deviation(mK),Current(mA)
0.00:13:15.013,42,999,-1,-1245
0.00:13:16.150,42,996,-4,-1257
0.00:13:17.287,42,998,-2,-1255
0.00:13:18.424,43,002,2,-1247
0.00:13:19.559,43,007,7,-1242
0.00:13:20.696,43,007,7,-1242
0.00:13:21.849,43,008,8,-1231
0.00:13:22.987,43,011,11,-1229
0.00:13:24.124,43,009,9,-1225
0.00:13:25.259,43,007,7,-1231
0.00:13:26.396,43,008,8,-1227
0.00:13:27.533,43,008,8,-1223
0.00:13:28.687,43,008,8,-1218
0.00:13:29.824,43,007,7,-1220
0.00:13:30.961,43,003,3,-1225
0.00:13:32.096,43,002,2,-1227
0.00:13:33.234,42,999,-1,-1230
0.00:13:34.370,43,0,-1228
0.00:13:35.507,42,995,-5,-1234
0.00:13:36.661,42,993,-7,-1240
0.00:13:37.796,42,994,-6,-1240
0.00:13:38.933,42,993,-7,-1244
0.00:13:40.070,42,992,-8,-1242
0.00:13:41.207,42,992,-8,-1246
0.00:13:42.344,42,996,-4,-1240
0.00:13:43.497,42,996,-4,-1243
0.00:13:44.633,42,998,-2,-1244
0.00:13:45.770,43,001,1,-1240
0.00:13:46.907,42,997,-3,-1244
0.00:13:48.044,43,001,1,-1244
0.00:13:49.181,43,001,1,-1240
0.00:13:50.333,43,002,2,-1241
0.00:13:51.470,43,004,4,-1233
0.00:13:52.607,43,003,3,-1233
0.00:13:53.744,43,004,4,-1237
0.00:13:54.881,43,004,4,-1236
0.00:13:56.034,43,003,3,-1233
0.00:13:57.170,43,004,4,-1231
0.00:13:58.307,42,998,-2,-1233
0.00:13:59.444,43,002,2,-1232
0.00:14:00.581,43,004,4,-1232
0.00:14:01.718,43,001,1,-1227
0.00:14:02.871,43,0,-1234
0.00:14:04.007,42,999,-1,-1226
0.00:14:05.144,42,998,-2,-1235
0.00:14:06.281,42,997,-3,-1234
0.00:14:07.418,42,998,-2,-1237
0.00:14:08.555,43,002,2,-1234
0.00:14:09.707,42,997,-3,-1236
0.00:14:10.844,42,999,-1,-1235
0.00:14:11.981,43,0,-1240
0.00:14:13.118,43,003,3,-1236
0.00:14:14.255,43,002,2,-1240
0.00:14:15.408,43,004,4,-1234
0.00:14:16.544,42,999,-1,-1232
0.00:14:17.681,42,999,-1,-1235
0.00:14:18.818,43,0,-1231
0.00:14:19.955,43,002,2,-1230
0.00:14:21.092,43,003,3,-1230
0.00:14:22.244,43,009,9,-1223
0.00:14:23.381,43,004,4,-1226
0.00:14:24.518,43,004,4,-1226
0.00:14:25.655,43,006,6,-1222
0.00:14:26.792,43,001,1,-1228
0.00:14:27.929,43,003,3,-1224
0.00:14:29.081,43,009,9,-1219
0.00:14:30.218,43,009,9,-1215
0.00:14:31.355,43,011,11,-1208
0.00:14:32.492,43,012,12,-1206
0.00:14:33.629,43,008,8,-1210
0.00:14:34.766,43,007,7,-1205
0.00:14:35.918,43,004,4,-1210
0.00:14:37.055,43,004,4,-1209
0.00:14:38.192,42,999,-1,-1206
0.00:14:39.329,43,003,3,-1210
0.00:14:40.466,43,001,1,-1213
0.00:14:41.602,43,001,1,-1212
0.00:14:42.755,42,999,-1,-1212
0.00:14:43.892,43,0,-1216
0.00:14:45.029,42,998,-2,-1219
0.00:14:46.166,43,0,-1215
0.00:14:47.303,42,997,-3,-1224
0.00:14:48.439,42,993,-7,-1222
0.00:14:49.592,42,991,-9,-1228
0.00:14:50.728,42,998,-2,-1224
0.00:14:51.866,42,987,-13,-1229
0.00:14:53.003,42,993,-7,-1230
0.00:14:54.140,42,997,-3,-1223
0.00:14:55.292,42,999,-1,-1225
0.00:14:56.429,43,001,1,-1221
0.00:14:57.565,43,002,2,-1223
0.00:14:58.702,43,002,2,-1226
0.00:14:59.839,43,001,1,-1221
0.00:15:00.976,43,003,3,-1215
0.00:15:02.129,43,008,8,-1207
0.00:15:03.266,43,006,6,-1205
0.00:15:04.402,43,005,5,-1211
0.00:15:05.539,43,002,2,-1213
0.00:15:06.676,43,003,3,-1214
0.00:15:07.829,43,006,6,-1212
0.00:15:08.965,43,004,4,-1213
0.00:15:10.102,43,002,2,-1206
0.00:15:11.239,42,998,-2,-1216
0.00:15:12.376,43,0,-1209
0.00:15:13.530,43,005,5,-1208
0.00:15:14.665,43,003,3,-1207
0.00:15:15.802,43,002,2,-1209
0.00:15:16.939,43,004,4,-1212
0.00:15:18.076,43,006,6,-1206
0.00:15:19.229,43,007,7,-1198
0.00:15:20.366,43,006,6,-1196
0.00:15:21.502,43,01,10,-1197
0.00:15:22.639,43,009,9,-1191
0.00:15:23.776,43,008,8,-1193
0.00:15:24.929,43,004,4,-1191
0.00:15:26.066,43,008,8,-1193
0.00:15:27.203,43,001,1,-1193
0.00:15:28.339,42,998,-2,-1201
0.00:15:29.476,42,999,-1,-1197
0.00:15:30.613,43,001,1,-1196
0.00:15:31.766,42,998,-2,-1201
0.00:15:32.903,43,004,4,-1192
0.00:15:34.039,43,005,5,-1191
0.00:15:35.176,43,005,5,-1186
0.00:15:36.313,43,007,7,-1183
0.00:15:37.466,42,999,-1,-1188
0.00:15:38.635,43,004,4,-1184
0.00:15:39.772,43,007,7,-1185
0.00:15:40.908,43,004,4,-1185
0.00:15:42.045,43,002,2,-1181
0.00:15:43.182,43,005,5,-1186
0.00:15:44.319,43,008,8,-1176
0.00:15:45.472,43,004,4,-1181
0.00:15:46.609,43,001,1,-1186
0.00:15:47.745,43,001,1,-1185
0.00:15:48.882,43,005,5,-1181
0.00:15:50.019,43,003,3,-1186
0.00:15:51.156,43,002,2,-1182
0.00:15:52.309,43,001,1,-1177
0.00:15:53.445,43,0,-1180
0.00:15:54.582,43,002,2,-1176
0.00:15:55.719,43,003,3,-1177
0.00:15:56.856,43,001,1,-1176
0.00:15:57.993,43,001,1,-1176
0.00:15:59.145,42,999,-1,-1180
0.00:16:00.282,42,999,-1,-1182
0.00:16:01.419,43,007,7,-1183
0.00:16:02.556,43,006,6,-1173
0.00:16:03.693,43,0,-1172
0.00:16:04.830,43,002,2,-1178
0.00:16:05.982,43,006,6,-1168
0.00:16:07.119,43,001,1,-1170
0.00:16:08.256,42,998,-2,-1178
0.00:16:09.393,42,998,-2,-1180
0.00:16:10.530,43,004,4,-1176
0.00:16:11.666,43,003,3,-1173
0.00:16:12.819,43,002,2,-1173
0.00:16:13.956,43,002,2,-1174
0.00:16:15.093,43,006,6,-1171
0.00:16:16.230,43,005,5,-1167
0.00:16:17.367,43,005,5,-1164
0.00:16:18.503,43,004,4,-1162
0.00:16:19.656,43,001,1,-1168
0.00:16:20.793,43,004,4,-1164
0.00:16:21.930,43,001,1,-1165
0.00:16:23.067,43,002,2,-1168
0.00:16:24.204,43,0,-1163
0.00:16:25.340,43,005,5,-1158
0.00:16:26.493,43,005,5,-1155
0.00:16:27.630,43,0,-1164
0.00:16:28.767,43,001,1,-1164
0.00:16:29.903,43,002,2,-1168
0.00:16:31.040,42,999,-1,-1162
0.00:16:32.192,43,005,5,-1161
0.00:16:33.330,43,006,6,-1156
0.00:16:34.466,43,003,3,-1159
0.00:16:35.603,42,998,-2,-1160
0.00:16:36.740,43,002,2,-1155
0.00:16:37.876,43,001,1,-1160
0.00:16:39.029,42,999,-1,-1160
0.00:16:40.166,43,001,1,-1162
0.00:16:41.303,43,0,-1161
0.00:16:42.440,42,999,-1,-1162
0.00:16:43.577,42,998,-2,-1164
0.00:16:44.713,43,001,1,-1163
0.00:16:45.866,42,995,-5,-1161
0.00:16:47.003,43,0,-1163
0.00:16:48.140,43,002,2,-1161
0.00:16:49.277,43,001,1,-1162
0.00:16:50.414,43,0,-1161
0.00:16:51.550,43,0,-1158
0.00:16:52.703,42,997,-3,-1164
0.00:16:53.840,42,991,-9,-1176
0.00:16:54.977,42,991,-9,-1175
0.00:16:56.114,42,994,-6,-1175
0.00:16:57.251,42,995,-5,-1171
0.00:16:58.403,42,994,-6,-1178
0.00:16:59.540,42,993,-7,-1180
0.00:17:00.677,42,999,-1,-1179
0.00:17:01.814,43,002,2,-1171
0.00:17:02.951,43,001,1,-1171
0.00:17:04.087,43,001,1,-1172
0.00:17:05.240,43,003,3,-1165
0.00:17:06.377,43,003,3,-1166
0.00:17:07.514,43,007,7,-1157
0.00:17:08.651,43,004,4,-1160
0.00:17:09.788,43,006,6,-1163
0.00:17:10.924,43,005,5,-1159
0.00:17:12.077,43,003,3,-1158
0.00:17:13.214,43,006,6,-1156
0.00:17:14.351,43,009,9,-1152
0.00:17:15.488,42,998,-2,-1159
0.00:17:16.625,43,0,-1157
0.00:17:17.777,43,001,1,-1161
0.00:17:18.914,43,001,1,-1162
0.00:17:20.051,43,004,4,-1157
0.00:17:21.188,43,006,6,-1151
0.00:17:22.325,43,003,3,-1149
0.00:17:23.462,43,001,1,-1160
0.00:17:24.614,43,003,3,-1152
0.00:17:25.751,43,001,1,-1156
0.00:17:26.888,43,001,1,-1158
0.00:17:28.025,43,003,3,-1153
0.00:17:29.162,43,002,2,-1149
0.00:17:30.298,43,006,6,-1155
0.00:17:31.451,43,004,4,-1152
0.00:17:32.588,43,002,2,-1147
0.00:17:33.725,43,001,1,-1154
0.00:17:34.862,43,002,2,-1148
0.00:17:35.999,43,003,3,-1148
0.00:17:37.135,43,006,6,-1149
0.00:17:38.288,43,006,6,-1147
0.00:17:39.425,43,002,2,-1145
0.00:17:40.562,42,996,-4,-1143
0.00:17:41.699,43,0,-1149
0.00:17:42.835,42,996,-4,-1155
0.00:17:43.988,42,999,-1,-1155
0.00:17:45.125,42,997,-3,-1155
0.00:17:46.262,43,0,-1151
0.00:17:47.399,43,001,1,-1152
0.00:17:48.536,43,003,3,-1153
0.00:17:49.672,43,002,2,-1147
0.00:17:50.825,42,997,-3,-1154
0.00:17:51.962,42,997,-3,-1156
0.00:17:53.099,43,0,-1155
0.00:17:54.236,43,0,-1153
0.00:17:55.373,42,997,-3,-1156
0.00:17:56.509,42,999,-1,-1153
0.00:17:57.662,42,999,-1,-1154
0.00:17:58.798,42,996,-4,-1161
0.00:17:59.936,42,996,-4,-1160
0.00:18:01.073,42,999,-1,-1157
0.00:18:02.209,43,003,3,-1158
0.00:18:03.362,43,001,1,-1155
0.00:18:04.498,43,0,-1155
0.00:18:05.635,43,003,3,-1153
0.00:18:06.773,43,005,5,-1159
0.00:18:07.909,42,998,-2,-1157
0.00:18:09.046,43,0,-1158
0.00:18:10.199,42,998,-2,-1154
0.00:18:11.335,42,999,-1,-1157
0.00:18:12.473,42,996,-4,-1154
0.00:18:13.610,42,995,-5,-1161
0.00:18:14.745,43,0,-1157
0.00:18:15.883,42,998,-2,-1159
0.00:18:17.035,43,0,-1157
0.00:18:18.172,42,999,-1,-1157
0.00:18:19.309,42,997,-3,-1157
0.00:18:20.446,43,001,1,-1155
0.00:18:21.582,43,002,2,-1155
0.00:18:22.735,43,001,1,-1156
0.00:18:23.872,43,005,5,-1150
0.00:18:25.009,43,009,9,-1147
0.00:18:26.146,43,007,7,-1145
0.00:18:27.283,43,008,8,-1140
0.00:18:28.419,43,006,6,-1141
0.00:18:29.572,43,003,3,-1144
0.00:18:30.709,43,005,5,-1141
0.00:18:31.846,43,007,7,-1144
0.00:18:32.983,43,006,6,-1138
0.00:18:34.120,43,005,5,-1140
0.00:18:35.256,43,0,-1142
0.00:18:36.409,43,001,1,-1143
0.00:18:37.546,43,001,1,-1143
0.00:18:38.683,42,999,-1,-1141
0.00:18:39.820,43,002,2,-1139
0.00:18:40.957,43,001,1,-1143
0.00:18:42.093,42,997,-3,-1146
0.00:18:43.246,43,0,-1139
0.00:18:44.383,43,002,2,-1143
0.00:18:45.520,43,002,2,-1143
0.00:18:46.657,43,003,3,-1144
0.00:18:47.794,43,002,2,-1143
0.00:18:48.930,42,998,-2,-1136
0.00:18:50.083,42,997,-3,-1151
0.00:18:51.220,42,997,-3,-1145
0.00:18:52.357,43,0,-1144
0.00:18:53.494,43,003,3,-1137
0.00:18:54.631,43,001,1,-1140
0.00:18:55.767,42,999,-1,-1143
0.00:18:56.920,42,998,-2,-1146
0.00:18:58.057,42,997,-3,-1147
0.00:18:59.194,43,0,-1147
0.00:19:00.331,42,995,-5,-1146
0.00:19:01.467,42,995,-5,-1152
0.00:19:02.620,42,999,-1,-1150
0.00:19:03.757,42,995,-5,-1156
0.00:19:04.894,42,993,-7,-1154
0.00:19:06.031,42,996,-4,-1157
0.00:19:07.168,42,997,-3,-1156
0.00:19:08.304,42,998,-2,-1152
0.00:19:09.457,42,994,-6,-1158
0.00:19:10.594,42,993,-7,-1163
0.00:19:11.731,42,999,-1,-1158
0.00:19:12.868,43,002,2,-1155
0.00:19:14.004,42,998,-2,-1157
0.00:19:15.141,42,998,-2,-1154
0.00:19:16.296,43,001,1,-1155
0.00:19:17.463,43,002,2,-1154
0.00:19:18.600,42,998,-2,-1157
0.00:19:19.737,43,005,5,-1146
0.00:19:20.873,42,998,-2,-1148
0.00:19:22.010,43,002,2,-1147
0.00:19:23.163,42,999,-1,-1151
0.00:19:24.300,42,999,-1,-1153
0.00:19:25.437,43,003,3,-1147
0.00:19:26.574,42,999,-1,-1155
0.00:19:27.710,43,005,5,-1151
0.00:19:28.847,43,003,3,-1151
0.00:19:29.983,43,003,3,-1146
0.00:19:31.137,43,003,3,-1146
0.00:19:32.273,43,005,5,-1142
0.00:19:33.411,43,004,4,-1144
0.00:19:34.546,43,005,5,-1140
0.00:19:35.683,43,003,3,-1139
0.00:19:36.821,43,001,1,-1142
0.00:19:37.973,43,006,6,-1137
0.00:19:39.111,43,001,1,-1144
0.00:19:40.246,43,001,1,-1138
0.00:19:41.384,43,002,2,-1142
0.00:19:42.520,43,003,3,-1138
0.00:19:43.657,42,999,-1,-1138
0.00:19:44.810,43,002,2,-1145
0.00:19:45.947,42,997,-3,-1146
0.00:19:47.083,43,001,1,-1140
0.00:19:48.220,43,0,-1135
0.00:19:49.357,43,0,-1140
0.00:19:50.510,42,997,-3,-1147
0.00:19:51.679,42,996,-4,-1151
0.00:19:52.816,42,995,-5,-1151
0.00:19:53.952,42,996,-4,-1148
0.00:19:55.089,43,002,2,-1145
0.00:19:56.226,43,0,-1146
0.00:19:57.363,42,998,-2,-1146
0.00:19:58.516,43,0,-1145
0.00:19:59.652,42,997,-3,-1145
0.00:20:00.789,42,994,-6,-1146
0.00:20:01.926,42,998,-2,-1147
0.00:20:03.063,42,999,-1,-1144
0.00:20:04.200,43,001,1,-1151
0.00:20:05.353,43,002,2,-1150
0.00:20:06.489,43,005,5,-1145
0.00:20:07.626,43,002,2,-1143
0.00:20:08.763,43,001,1,-1144
0.00:20:09.900,43,001,1,-1147
0.00:20:11.037,43,001,1,-1144
0.00:20:12.190,43,004,4,-1139
0.00:20:13.326,43,005,5,-1142
0.00:20:14.463,43,007,7,-1134
0.00:20:15.600,43,002,2,-1140
0.00:20:16.737,43,004,4,-1142
0.00:20:17.874,43,005,5,-1135
0.00:20:19.026,43,003,3,-1135
0.00:20:20.163,43,0,-1133
0.00:20:21.300,43,007,7,-1136
0.00:20:22.437,43,003,3,-1134
0.00:20:23.574,43,004,4,-1133
0.00:20:24.711,42,999,-1,-1136
0.00:20:25.863,42,999,-1,-1142
0.00:20:27.000,43,001,1,-1138
0.00:20:28.137,42,998,-2,-1142
0.00:20:29.274,43,001,1,-1142
0.00:20:30.411,43,005,5,-1132
0.00:20:31.564,43,003,3,-1129
0.00:20:32.700,43,003,3,-1132
0.00:20:33.837,43,008,8,-1129
0.00:20:34.974,43,003,3,-1127
0.00:20:36.111,43,001,1,-1130
0.00:20:37.248,42,999,-1,-1133
0.00:20:38.400,43,003,3,-1128
0.00:20:39.537,43,008,8,-1122
0.00:20:40.674,43,002,2,-1128
0.00:20:41.811,42,997,-3,-1140
0.00:20:42.948,42,998,-2,-1135
0.00:20:44.085,42,997,-3,-1130
0.00:20:45.237,43,0,-1131
0.00:20:46.374,43,001,1,-1131
0.00:20:47.511,42,999,-1,-1127
0.00:20:48.648,43,003,3,-1135
0.00:20:49.785,43,003,3,-1126
0.00:20:50.922,43,0,-1128
0.00:20:52.074,43,004,4,-1133
0.00:20:53.211,43,0,-1130
0.00:20:54.348,43,0,-1132
0.00:20:55.485,42,998,-2,-1134
0.00:20:56.622,43,0,-1133
0.00:20:57.759,42,992,-8,-1143
0.00:20:58.911,42,997,-3,-1140
0.00:21:00.048,42,995,-5,-1141
0.00:21:01.185,42,998,-2,-1137
0.00:21:02.322,43,001,1,-1133
0.00:21:03.459,43,003,3,-1133
0.00:21:04.595,43,002,2,-1131
0.00:21:05.747,43,0,-1133
0.00:21:06.885,43,002,2,-1128
0.00:21:08.022,43,0,-1132
0.00:21:09.158,42,999,-1,-1136
0.00:21:10.296,42,993,-7,-1141
0.00:21:11.432,42,995,-5,-1142
0.00:21:12.585,42,995,-5,-1144
0.00:21:13.721,42,993,-7,-1147
0.00:21:14.859,42,997,-3,-1146
0.00:21:15.996,42,995,-5,-1148
0.00:21:17.133,42,997,-3,-1144
0.00:21:18.269,42,997,-3,-1140
0.00:21:19.422,42,998,-2,-1145
0.00:21:20.558,42,997,-3,-1145
0.00:21:21.696,42,999,-1,-1151
0.00:21:22.832,43,002,2,-1141
0.00:21:23.969,43,005,5,-1137
0.00:21:25.105,43,001,1,-1142
0.00:21:26.258,43,002,2,-1139
0.00:21:27.395,43,003,3,-1136
0.00:21:28.532,43,002,2,-1140
0.00:21:29.669,43,004,4,-1137
0.00:21:30.805,43,004,4,-1136
0.00:21:31.942,43,001,1,-1132
0.00:21:33.095,43,002,2,-1134
0.00:21:34.232,42,999,-1,-1134
0.00:21:35.369,43,0,-1135
0.00:21:36.506,43,0,-1140
0.00:21:37.642,43,003,3,-1142
0.00:21:38.779,43,0,-1140
0.00:21:39.932,42,997,-3,-1144
0.00:21:41.069,43,001,1,-1138
0.00:21:42.206,43,0,-1140
0.00:21:43.343,43,001,1,-1143
0.00:21:44.479,43,001,1,-1137
0.00:21:45.616,43,004,4,-1132
0.00:21:46.769,43,005,5,-1130
0.00:21:47.938,43,005,5,-1126
0.00:21:49.075,43,01,10,-1127
0.00:21:50.212,43,008,8,-1125
0.00:21:51.348,43,001,1,-1127
0.00:21:52.485,43,004,4,-1125
0.00:21:53.622,43,003,3,-1126
0.00:21:54.775,43,003,3,-1128
0.00:21:55.912,43,001,1,-1128
0.00:21:57.049,43,004,4,-1125
0.00:21:58.185,43,006,6,-1126
0.00:21:59.322,43,001,1,-1127
0.00:22:00.459,43,001,1,-1124
0.00:22:01.612,42,998,-2,-1126
0.00:22:02.749,42,999,-1,-1129
0.00:22:03.885,43,002,2,-1126
0.00:22:05.022,43,0,-1126
0.00:22:06.159,43,0,-1128
0.00:22:07.296,42,998,-2,-1128
0.00:22:08.449,42,997,-3,-1136
0.00:22:09.586,42,997,-3,-1134
0.00:22:10.722,43,001,1,-1132
0.00:22:11.859,42,999,-1,-1130
0.00:22:12.996,42,995,-5,-1136
0.00:22:14.133,42,993,-7,-1135
0.00:22:15.270,42,998,-2,-1138
0.00:22:16.423,42,998,-2,-1135
0.00:22:17.559,42,998,-2,-1137
0.00:22:18.696,42,995,-5,-1137
0.00:22:19.833,42,998,-2,-1139
0.00:22:20.970,42,998,-2,-1135
0.00:22:22.107,43,003,3,-1132
0.00:22:23.259,43,004,4,-1131
0.00:22:24.396,43,004,4,-1127
0.00:22:25.533,43,004,4,-1126
0.00:22:26.670,43,005,5,-1124
0.00:22:27.807,43,004,4,-1124
0.00:22:28.943,43,002,2,-1123
0.00:22:30.096,43,001,1,-1127
0.00:22:31.233,42,998,-2,-1127
0.00:22:32.370,43,002,2,-1126
0.00:22:33.507,43,002,2,-1127
0.00:22:34.644,42,999,-1,-1125
0.00:22:35.796,43,0,-1125
0.00:22:36.933,43,002,2,-1124
0.00:22:38.069,43,001,1,-1122
0.00:22:39.207,43,0,-1125
0.00:22:40.343,42,999,-1,-1127
0.00:22:41.481,42,999,-1,-1127
0.00:22:42.633,43,0,-1123
0.00:22:43.770,42,999,-1,-1128
0.00:22:44.907,42,998,-2,-1126
0.00:22:46.044,43,0,-1127
0.00:22:47.181,42,997,-3,-1129
0.00:22:48.318,42,998,-2,-1130
0.00:22:49.470,42,999,-1,-1130
0.00:22:50.638,43,0,-1122
0.00:22:51.775,43,002,2,-1127
0.00:22:52.913,42,999,-1,-1127
0.00:22:54.050,42,999,-1,-1125
0.00:22:55.186,43,001,1,-1127
0.00:22:56.338,42,997,-3,-1133
0.00:22:57.475,42,997,-3,-1131
0.00:22:58.612,42,999,-1,-1128
0.00:22:59.749,43,0,-1127
0.00:23:00.886,43,002,2,-1126
0.00:23:02.022,42,997,-3,-1129
0.00:23:03.175,42,999,-1,-1129
0.00:23:04.312,42,999,-1,-1131
0.00:23:05.449,42,996,-4,-1133
0.00:23:06.586,42,995,-5,-1134
0.00:23:07.722,42,993,-7,-1139
0.00:23:08.859,42,998,-2,-1135
0.00:23:10.012,43,0,-1133
0.00:23:11.149,42,999,-1,-1136
0.00:23:12.286,42,997,-3,-1141
0.00:23:13.423,43,0,-1136
0.00:23:14.559,43,001,1,-1140
0.00:23:15.712,43,001,1,-1137
0.00:23:16.849,43,001,1,-1133
0.00:23:17.986,43,003,3,-1131
0.00:23:19.123,43,003,3,-1130
0.00:23:20.260,43,003,3,-1129
0.00:23:21.396,43,004,4,-1125
0.00:23:22.549,43,005,5,-1125
0.00:23:23.686,43,004,4,-1127
0.00:23:24.823,43,003,3,-1126
0.00:23:25.960,43,004,4,-1124
0.00:23:27.096,43,003,3,-1125
0.00:23:28.249,42,997,-3,-1124
0.00:23:29.386,43,004,4,-1126
0.00:23:30.523,43,01,10,-1112
0.00:23:31.660,43,006,6,-1116
0.00:23:32.797,43,006,6,-1117
0.00:23:33.933,43,01,10,-1116
0.00:23:35.086,43,005,5,-1116
0.00:23:36.223,43,004,4,-1112
0.00:23:37.360,43,005,5,-1116
0.00:23:38.497,43,002,2,-1121
0.00:23:39.634,43,001,1,-1119
0.00:23:40.786,43,001,1,-1117
0.00:23:41.923,42,997,17997,1991
0.00:23:43.060,42,979,17979,1991
0.00:23:44.197,42,89,17890,1991
0.00:23:45.334,42,697,17697,1991
0.00:23:46.470,42,452,17452,1991
0.00:23:47.623,42,244,17244,1991
0.00:23:48.760,42,002,17002,1991
0.00:23:49.897,41,785,16785,1991
0.00:23:51.034,41,581,16581,1990
0.00:23:52.171,41,422,16422,1990
0.00:23:53.307,41,241,16241,1991
0.00:23:54.460,41,084,16084,1991
0.00:23:55.597,40,955,15955,1991
0.00:23:56.734,40,816,15816,1990
0.00:23:57.871,40,676,15676,1991
0.00:23:59.007,40,561,15561,1991
0.00:24:00.160,40,432,15432,1990
0.00:24:01.297,40,314,15314,1991
0.00:24:02.434,40,216,15216,1991
0.00:24:03.571,40,108,15108,1989
0.00:24:04.708,39,997,14997,1991
0.00:24:05.844,39,909,14909,1990
0.00:24:06.996,39,805,14805,1990
0.00:24:08.134,39,702,14702,1990
0.00:24:09.271,39,614,14614,1990
0.00:24:10.408,39,516,14516,1990
0.00:24:11.560,39,416,14416,1990
0.00:24:12.697,39,317,14317,1990
0.00:24:13.850,39,238,14238,1990
0.00:24:15.003,39,144,14144,1990
0.00:24:16.140,39,056,14056,1990
0.00:24:17.293,38,974,13974,1990
0.00:24:18.428,38,882,13882,1990
0.00:24:19.582,38,79,13790,1989
0.00:24:20.734,38,699,13699,1990
0.00:24:21.871,38,621,13621,1989
0.00:24:23.024,38,525,13525,1989
0.00:24:24.161,38,432,13432,1990
0.00:24:25.313,38,351,13351,1990
0.00:24:26.466,38,258,13258,1989
0.00:24:27.603,38,165,13165,1990
0.00:24:28.757,38,069,13069,1989
0.00:24:29.909,37,975,12975,1990
0.00:24:31.046,37,897,12897,1989
0.00:24:32.198,37,801,12801,1990
0.00:24:33.335,37,708,12708,1990
0.00:24:34.488,37,629,12629,1989
0.00:24:35.641,37,536,12536,1989
0.00:24:36.778,37,442,12442,1990
0.00:24:37.931,37,363,12363,1989
0.00:24:39.067,37,277,12277,1989
0.00:24:40.220,37,19,12190,1990
0.00:24:41.373,37,11,12110,1990
0.00:24:42.510,37,022,12022,1990
0.00:24:43.663,36,931,11931,1990
0.00:24:44.800,36,838,11838,1989
0.00:24:45.952,36,765,11765,1990
0.00:24:47.105,36,677,11677,1990
0.00:24:48.242,36,59,11590,1990
0.00:24:49.395,36,519,11519,1990
0.00:24:50.532,36,43,11430,1989
0.00:24:51.685,36,339,11339,1990
0.00:24:52.837,36,252,11252,1990
0.00:24:53.974,36,181,11181,1989
0.00:24:55.127,36,096,11096,1990
0.00:24:56.264,36,01,11010,1989
0.00:24:57.417,35,937,10937,1989
0.00:24:58.569,35,852,10852,1990
0.00:24:59.706,35,768,10768,1990
0.00:25:00.859,35,682,10682,1990
0.00:25:01.996,35,612,10612,1990
0.00:25:03.149,35,529,10529,1990
0.00:25:04.302,35,444,10444,1990
0.00:25:05.438,35,376,10376,1989
0.00:25:06.591,35,294,10294,1990
0.00:25:07.728,35,212,10212,1989
0.00:25:08.881,35,133,10133,1990
0.00:25:10.034,35,059,10059,1989
0.00:25:11.170,34,983,9983,1990
0.00:25:12.323,34,901,9901,1989
0.00:25:13.460,34,839,9839,1990
0.00:25:14.613,34,755,9755,1989
0.00:25:15.766,34,671,9671,1989
0.00:25:16.903,34,595,9595,1989
0.00:25:18.055,34,53,9530,1990
0.00:25:19.192,34,454,9454,1989
0.00:25:20.345,34,375,9375,1990
0.00:25:21.498,34,305,9305,1989
0.00:25:22.635,34,231,9231,1990
0.00:25:23.788,34,156,9156,1991
0.00:25:24.924,34,076,9076,1990
0.00:25:26.077,34,014,9014,1990
0.00:25:27.230,33,934,8934,1989
0.00:25:28.367,33,859,8859,1989
0.00:25:29.520,33,797,8797,1990
0.00:25:30.657,33,717,8717,1989
0.00:25:31.809,33,647,8647,1989
0.00:25:32.962,33,574,8574,1990
0.00:25:34.099,33,506,8506,1991
0.00:25:35.252,33,44,8440,1990
0.00:25:36.405,33,366,8366,1991
0.00:25:37.542,33,304,8304,1990
0.00:25:38.694,33,234,8234,1990
0.00:25:39.831,33,159,8159,1989
0.00:25:40.984,33,082,8082,1989
0.00:25:42.137,33,025,8025,1989
0.00:25:43.274,32,953,7953,1991
0.00:25:44.426,32,877,7877,1989
0.00:25:45.563,32,822,7822,1990
0.00:25:46.715,32,748,7748,1989
0.00:25:47.869,32,677,7677,1991
0.00:25:49.006,32,608,7608,1989
0.00:25:50.159,32,548,7548,1989
0.00:25:51.294,32,475,7475,1989
0.00:25:52.447,32,405,7405,1990
0.00:25:53.600,32,348,7348,1990
0.00:25:54.738,32,278,7278,1989
0.00:25:55.891,32,21,7210,1990
0.00:25:57.027,32,14,7140,1989
0.00:25:58.179,32,081,7081,1990
0.00:25:59.333,32,015,7015,1989
0.00:26:00.470,31,944,6944,1990
0.00:26:01.622,31,89,6890,1990
0.00:26:02.774,31,824,6824,1990
0.00:26:03.912,31,758,6758,1990
0.00:26:05.064,31,688,6688,1990
0.00:26:06.201,31,632,6632,1989
0.00:26:07.354,31,564,6564,1989
0.00:26:08.506,31,5,6500,1989
0.00:26:09.643,31,443,6443,1989
0.00:26:10.796,31,377,6377,1990
0.00:26:11.933,31,312,6312,1989
0.00:26:13.086,31,25,6250,1990
0.00:26:14.238,31,193,6193,1989
0.00:26:15.375,31,128,6128,1990
0.00:26:16.528,31,059,6059,1989
0.00:26:17.665,31,005,6005,1990
0.00:26:18.818,30,942,5942,1990
0.00:26:19.971,30,882,5882,1989
0.00:26:21.107,30,817,5817,1991
0.00:26:22.260,30,763,5763,1991
0.00:26:23.413,30,7,5700,1990
0.00:26:24.550,30,635,5635,1990
0.00:26:25.703,30,582,5582,1990
0.00:26:26.839,30,519,5519,1991
